exchange,symbol,funding,next_funding,short_ma,long_ma,positive_ratio,volatility,timestamp
okx,BERA/USDT:USDT,-0.000265855299112,2026-03-24T12:00:00.000Z,-0.00015180055493500951,-4.448352456007333e-05,0.4083333333333333,0.00013328184409339274,
okx,BAT/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-8.206304292151429e-05,8.762689031323336e-06,0.7083333333333334,0.00010732783162792246,
okx,BIO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-3.265381264080952e-05,-1.2104217958866627e-06,0.6833333333333333,0.00018715580132668387,
okx,BLUR/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-2.4547633632242853e-05,-6.871601449299999e-06,0.6666666666666666,0.0001089346147284187,
okx,BNB/USDT:USDT,9.25145295551e-05,2026-03-24T16:00:00.000Z,-2.065194537494761e-05,6.334785961603335e-06,0.5916666666666667,7.647785895704424e-05,
okx,BICO/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,7.800900832619049e-05,4.802610262898445e-05,0.875,0.00010457028184751249,
okx,BIGTIME/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-5.335159260552381e-06,2.7556505072051123e-05,0.8,8.910894159856191e-05,
okx,BOME/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-2.117377509459047e-05,-1.2564937875491111e-05,0.675,0.00010128873136294301,
okx,BONK/USDT:USDT,-0.0001047975101475,2026-03-24T16:00:00.000Z,-0.00015508495272712855,-5.339795380084777e-05,0.44166666666666665,0.00012508815723252396,
okx,BRETT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,4.858098327973444e-05,0.975,1.2233813061802402e-05,
okx,CELO/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,5.666943496860477e-05,-6.70212624942611e-05,0.5833333333333334,0.00020552465206056934,
okx,BREV/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,2.0366569295366675e-05,3.241463966138112e-05,0.8916666666666667,6.606946802653949e-05,
okx,CC/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.4817602301000015e-06,1.1351086206183332e-05,0.7416666666666667,7.986036948865148e-05,
okx,CFX/USDT:USDT,7.79125349646e-05,2026-03-24T16:00:00.000Z,2.0013073152585714e-05,1.9344660917101117e-05,0.65,9.059001837155464e-05,
okx,COIN/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,-0.00012239306498185238,-9.206037864977468e-05,0.7088607594936709,0.0005642339657236323,
okx,CHZ/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,5.1283922716609523e-05,2.890884598408444e-05,0.625,9.262175788741779e-05,
okx,COAI/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,9.973474040801905e-05,0.0001238033254236511,1.0,0.00010289699771108156,
okx,CL/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,1.4285714285714287e-05,0.0005127872674715818,0.7,0.0008804653134179523,
okx,COMP/USDT:USDT,-0.0001546201297574,2026-03-24T16:00:00.000Z,-0.00011064719828573333,-0.00016520144148746225,0.3,0.001439658670256909,
okx,CORE/USDT:USDT,-0.0004180589904767,2026-03-24T16:00:00.000Z,-0.0001595705264901476,-8.612076477683889e-05,0.48333333333333334,0.00019677891678882223,
okx,CRCL/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,-0.00011217267265639999,6.115237531745001e-05,0.6923076923076923,0.00040032069121371107,
okx,DOOD/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,-0.00017101804413689777,0.75,0.0008155848813760338,
okx,CVX/USDT:USDT,-3.07698353528e-05,2026-03-24T12:00:00.000Z,-5.499486561204762e-05,-9.41274990640333e-06,0.625,0.00012058588495845615,
